Age,Gender,Engineer,MBA,Work Exp,Salary,Distance,license,Transport
28,Male,0,0,4,14.3,3.2,0,Public Transport
23,Female,1,0,4,8.3,3.3,0,Public Transport
29,Male,1,0,7,13.4,4.1,0,Public Transport
28,Female,1,1,5,13.4,4.5,0,Public Transport
27,Male,1,0,4,13.4,4.6,0,Public Transport
26,Male,1,0,4,12.3,4.8,1,Public Transport
28,Male,1,0,5,14.4,5.1,0,2Wheeler
26,Female,1,0,3,10.5,5.1,0,Public Transport
22,Male,1,0,1,7.5,5.1,0,Public Transport
27,Male,1,0,4,13.5,5.2,0,Public Transport
25,Female,1,0,4,11.5,5.2,0,Public Transport
27,Male,1,0,4,13.5,5.3,1,Public Transport
24,Male,1,0,2,8.5,5.4,0,Public Transport
27,Male,1,0,4,13.4,5.5,1,Public Transport
32,Male,1,0,9,15.5,5.5,0,Public Transport
25,Male,1,1,4,11.5,5.6,0,Public Transport
34,Male,1,0,13,16.5,5.9,0,Public Transport
26,Female,1,0,4,12.3,5.9,0,Public Transport
23,Male,1,0,2,8.5,6.1,0,Public Transport
23,Male,0,0,2,8.6,6.1,0,Public Transport
26,Male,1,0,5,11.4,6.1,0,Public Transport
24,Male,1,0,6,10.6,6.1,0,2Wheeler
27,Female,1,0,9,15.5,6.1,0,2Wheeler
30,Male,0,0,8,14.6,6.1,0,Public Transport
24,Male,0,0,2,8.5,6.2,0,Public Transport
26,Female,0,0,3,9.5,6.2,0,Public Transport
28,Male,1,1,7,13.6,6.3,0,Public Transport
25,Male,0,0,1,7.6,6.3,0,2Wheeler
26,Male,0,0,2,8.5,6.3,1,Public Transport
30,Female,1,0,8,14.6,6.3,0,Public Transport
26,Female,0,0,3,9.5,6.3,0,Public Transport
24,Male,1,1,2,8.6,6.4,0,Public Transport
27,Male,1,0,7,16.6,6.4,0,Public Transport
27,Female,1,0,5,12.5,6.4,0,Public Transport
30,Female,1,0,8,14.6,6.5,0,Public Transport
27,Male,1,0,6,12.6,6.5,0,Public Transport
25,Male,0,0,2,8.6,6.7,1,Public Transport
25,Female,0,0,3,9.6,6.7,0,2Wheeler
26,Male,0,0,3,9.5,6.8,0,Public Transport
22,Male,1,0,3,8.4,6.8,0,Public Transport
28,Male,1,0,6,13.6,6.9,1,Public Transport
25,Female,1,0,4,11.5,7,0,Public Transport
20,Male,1,0,2,8.5,7,0,Public Transport
25,Male,1,0,3,10.5,7.1,0,Public Transport
33,Male,0,0,13,36.6,7.1,1,Public Transport
23,Female,1,1,4,8.4,7.1,0,Public Transport
21,Male,0,0,3,9.5,7.1,0,2Wheeler
30,Male,1,0,8,14.6,7.1,0,Public Transport
28,Female,0,1,5,14.6,7.2,0,Public Transport
23,Female,1,1,1,7.5,7.2,0,Public Transport
23,Male,1,1,3,11.7,7.2,0,2Wheeler
30,Female,1,0,8,14.4,7.2,0,Public Transport
30,Male,0,1,7,14.4,7.3,0,Public Transport
23,Male,0,0,0,6.5,7.3,0,2Wheeler
31,Male,0,0,9,15.6,7.3,0,Public Transport
28,Female,1,0,9,21.7,7.3,0,Public Transport
26,Male,1,0,4,12.5,7.4,0,Public Transport
23,Female,1,0,0,7.7,7.4,0,Public Transport
25,Male,1,0,2,8.6,7.4,0,Public Transport
24,Male,1,0,4,8.5,7.5,0,2Wheeler
28,Male,1,0,6,13.7,7.5,1,2Wheeler
26,Male,0,0,4,12.6,7.5,0,2Wheeler
23,Male,1,0,1,7.5,7.5,0,Public Transport
28,Female,1,0,5,13.6,7.5,0,Public Transport
22,Female,1,0,0,6.5,7.6,0,Public Transport
29,Male,1,0,5,15.4,7.6,1,Public Transport
31,Male,1,0,9,15.6,7.6,0,Public Transport
24,Male,0,0,2,8.7,7.6,0,Public Transport
29,Male,1,0,6,14.6,7.6,0,Public Transport
26,Male,1,1,4,12.4,7.6,0,Public Transport
21,Male,0,1,3,10.6,7.7,0,2Wheeler
24,Male,1,1,1,8.5,7.7,0,Public Transport
29,Female,0,0,7,14.6,7.7,0,Public Transport
28,Male,1,0,5,13.6,7.9,0,Public Transport
27,Male,0,0,3,9.5,7.9,1,Public Transport
20,Female,0,1,1,8.5,7.9,0,Public Transport
24,Male,1,0,2,8.5,8,0,Public Transport
25,Male,1,0,3,10.6,8.1,0,Public Transport
21,Female,1,0,3,9.6,8.1,0,Public Transport
26,Male,1,1,8,21.6,8.1,1,Public Transport
22,Female,1,0,2,11.7,8.1,0,Public Transport
29,Male,0,0,7,14.6,8.1,0,Public Transport
19,Female,1,0,1,7.5,8.1,0,Public Transport
22,Female,1,0,2,8.5,8.1,0,2Wheeler
30,Female,1,0,8,14.6,8.1,0,Public Transport
29,Male,1,0,6,14.7,8.1,0,Public Transport
27,Male,0,0,6,12.6,8.1,0,Public Transport
27,Female,1,0,4,13.8,8.1,0,Public Transport
27,Female,0,0,4,13.6,8.2,0,Public Transport
27,Female,0,1,4,13.6,8.2,0,Public Transport
31,Female,0,0,9,14.6,8.2,0,Public Transport
20,Male,0,1,2,8.8,8.3,0,Public Transport
25,Male,1,0,4,11.6,8.3,0,Public Transport
24,Male,1,1,6,10.6,8.4,1,Public Transport
32,Male,1,0,11,14.7,8.4,0,Public Transport
25,Male,1,0,3,9.8,8.4,0,Public Transport
32,Male,1,0,10,15.7,8.4,0,Public Transport
24,Male,0,0,2,8.7,8.4,0,Public Transport
31,Male,1,0,10,14.8,8.4,0,Public Transport
33,Male,1,0,11,15.6,8.5,0,Public Transport
30,Female,1,0,8,14.7,8.5,0,Public Transport
24,Male,0,1,2,8.5,8.5,1,Public Transport
24,Male,1,0,2,8.5,8.5,0,Public Transport
28,Male,1,0,4,14.6,8.6,0,Public Transport
23,Male,0,0,2,8.8,8.6,0,Public Transport
28,Female,0,0,6,13.6,8.6,0,Public Transport
30,Male,1,0,7,15.6,8.6,1,Public Transport
28,Male,0,0,6,13.8,8.6,0,Public Transport
20,Male,1,0,2,8.8,8.7,1,Public Transport
24,Male,1,0,6,12.7,8.7,0,2Wheeler
27,Male,1,1,5,13.5,8.8,0,Public Transport
26,Male,1,0,5,12.8,8.8,0,Public Transport
25,Female,1,0,3,10.6,8.8,0,Public Transport
25,Male,1,0,7,17.8,8.8,0,Public Transport
26,Female,1,0,3,10.8,8.9,0,Public Transport
29,Male,1,0,9,22.8,8.9,0,Public Transport
24,Female,1,0,6,10.5,8.9,0,Public Transport
21,Female,1,0,3,9.8,8.9,0,Public Transport
28,Male,1,0,6,13.7,8.9,0,Public Transport
27,Male,0,1,8,15.6,9,0,2Wheeler
28,Male,0,1,3,9.5,9,0,Public Transport
28,Female,0,0,10,19.7,9,0,2Wheeler
26,Female,1,0,3,10.8,9,0,Public Transport
26,Male,1,0,4,12.7,9,1,Public Transport
24,Male,1,0,4,10.9,9,0,Public Transport
28,Male,0,1,10,20.7,9,0,Public Transport
39,Male,1,1,19,38.9,9,1,Car
28,Female,1,0,5,14.6,9,0,Public Transport
26,Female,1,1,3,10.9,9.1,0,Public Transport
24,Male,1,1,0,7.9,9.1,0,Public Transport
25,Male,0,0,4,11.9,9.1,0,Public Transport
31,Female,1,0,6,16.9,9.1,0,Car
27,Male,0,0,7,12.5,9.1,0,Public Transport
29,Male,1,1,11,25.9,9.1,0,Public Transport
23,Male,1,0,2,8.8,9.2,1,2Wheeler
23,Male,1,1,0,6.6,9.2,0,Public Transport
36,Male,1,1,16,34.8,9.2,0,Public Transport
29,Female,0,0,7,14.6,9.2,0,2Wheeler
31,Male,1,1,12,28.8,9.3,0,Public Transport
28,Male,1,0,5,13.6,9.3,0,Public Transport
27,Male,1,0,5,12.5,9.3,0,Public Transport
23,Female,0,0,0,6.8,9.3,0,Public Transport
27,Male,1,0,3,10.6,9.3,0,Public Transport
33,Male,1,1,11,15.6,9.3,0,Public Transport
28,Female,0,,6,13.7,9.4,0,Public Transport
25,Male,1,0,1,8.6,9.4,0,Public Transport
25,Female,1,0,1,8.6,9.4,0,Public Transport
26,Male,0,0,3,9.9,9.4,0,Public Transport
26,Female,0,0,4,12.9,9.4,0,Public Transport
29,Male,1,0,9,23.8,9.4,0,2Wheeler
26,Male,1,1,3,10.8,9.4,0,Public Transport
22,Female,1,1,2,8.5,9.5,0,2Wheeler
26,Male,1,0,2,9.6,9.5,0,Public Transport
27,Male,1,1,6,12.9,9.5,0,Public Transport
24,Male,0,0,2,8.6,9.5,1,Public Transport
28,Male,1,0,6,13.9,9.5,0,Public Transport
24,Male,1,1,0,7.6,9.5,0,Public Transport
26,Male,1,0,4,12.9,9.6,0,Public Transport
26,Male,1,0,2,9.5,9.6,0,Public Transport
26,Male,1,0,3,10.6,9.6,0,Public Transport
28,Male,1,1,5,14.8,9.7,0,Public Transport
26,Male,1,0,3,10.5,9.7,1,Public Transport
25,Male,1,0,1,8.6,9.7,0,Public Transport
28,Male,1,0,6,13.6,9.7,1,Public Transport
31,Male,0,1,7,15.9,9.7,0,Public Transport
27,Female,1,0,5,12.8,9.7,0,2Wheeler
28,Male,0,0,5,14.5,9.8,1,Public Transport
27,Female,1,1,4,13.8,9.8,0,Public Transport
27,Female,1,1,5,13.8,9.8,0,Public Transport
31,Female,1,0,10,14.9,9.9,0,Public Transport
25,Male,1,1,3,9.7,9.9,0,Public Transport
30,Male,1,0,4,16.8,9.9,0,Car
26,Female,0,0,3,9.6,9.9,0,Public Transport
24,Male,1,0,0,7.6,10,0,Public Transport
26,Male,0,0,3,9.8,10,0,Public Transport
39,Male,1,0,21,39.9,10,1,Car
36,Male,0,0,17,39,10,1,Car
26,Male,1,1,4,12.9,10,0,Public Transport
30,Male,0,1,8,14.6,10,0,Public Transport
27,Male,0,1,5,13.9,10,0,Public Transport
25,Female,1,0,6,11.6,10.1,0,2Wheeler
32,Female,1,1,9,16.9,10.1,0,Car
24,Male,0,1,2,8.7,10.1,0,Public Transport
29,Male,1,0,6,14.8,10.1,0,Public Transport
27,Male,1,0,4,13.8,10.1,0,Public Transport
29,Male,0,0,6,14.6,10.1,0,Public Transport
35,Female,1,0,16,28.7,10.2,0,Public Transport
25,Male,1,0,2,8.7,10.2,0,Public Transport
29,Male,1,1,6,14.6,10.2,1,Public Transport
24,Male,1,0,0,7.6,10.2,0,Public Transport
28,Male,1,0,3,10.8,10.2,1,Public Transport
34,Male,1,1,14,36.9,10.4,1,2Wheeler
36,Male,1,1,18,28.7,10.4,1,Public Transport
27,Male,1,1,4,13.6,10.4,0,Public Transport
29,Male,0,0,6,14.7,10.4,0,Public Transport
30,Male,1,1,8,14.9,10.4,0,Public Transport
26,Female,1,0,6,17.8,10.4,0,Public Transport
24,Male,1,1,1,7.9,10.5,0,Public Transport
28,Male,1,0,5,14.7,10.5,1,2Wheeler
28,Female,1,0,6,13.9,10.5,0,Public Transport
30,Female,1,0,7,14.6,10.5,0,Public Transport
29,Male,0,0,5,15.9,10.5,0,Public Transport
30,Male,1,1,8,14.6,10.6,0,Public Transport
27,Female,1,0,5,12.9,10.6,0,Public Transport
27,Male,0,1,8,20.7,10.7,0,Public Transport
28,Male,0,0,6,13.9,10.7,0,Public Transport
26,Female,1,0,2,9.8,10.7,0,2Wheeler
23,Female,0,0,4,11.6,10.7,0,2Wheeler
30,Male,1,0,6,15.8,10.7,0,Public Transport
24,Male,1,1,0,7.8,10.7,0,Public Transport
25,Male,1,1,7,13.6,10.7,0,2Wheeler
25,Male,1,0,3,10.7,10.8,0,Public Transport
28,Male,1,1,5,14.8,10.8,1,2Wheeler
26,Female,1,1,4,12.8,10.8,0,Public Transport
30,Male,0,0,8,14.6,10.9,1,Public Transport
33,Male,1,1,14,34.9,10.9,0,Public Transport
32,Male,1,0,12,15.7,10.9,0,Public Transport
29,Female,0,1,7,14.6,10.9,0,Public Transport
33,Male,1,0,11,16.7,10.9,1,Car
24,Male,1,1,3,9.9,10.9,0,Public Transport
21,Female,0,0,3,9.8,11,0,2Wheeler
26,Female,1,0,4,12.6,11,0,2Wheeler
25,Female,1,0,2,8.6,11,0,2Wheeler
26,Male,1,0,2,8.6,11,1,Public Transport
24,Male,1,0,0,8,11,1,2Wheeler
31,Female,0,1,9,14.6,11.1,0,Public Transport
26,Male,0,0,5,12.6,11.1,0,Public Transport
26,Female,1,0,4,12.9,11.1,0,2Wheeler
39,Male,1,0,19,47,11.2,1,Car
29,Male,1,0,5,14.9,11.2,0,Public Transport
25,Female,1,1,1,8.6,11.2,0,2Wheeler
27,Male,1,1,6,12.8,11.3,0,Public Transport
28,Female,1,0,5,13.7,11.3,0,Public Transport
29,Male,1,0,11,22.7,11.3,1,2Wheeler
24,Male,1,1,6,11.6,11.3,1,Public Transport
24,Male,1,1,0,7.7,11.3,1,Public Transport
30,Male,1,0,10,13.8,11.4,0,Public Transport
29,Male,1,0,9,13.7,11.4,0,Public Transport
30,Female,1,0,8,14.7,11.4,1,2Wheeler
23,Male,1,0,4,10.6,11.4,0,2Wheeler
28,Female,0,0,9,23.8,11.4,0,Public Transport
27,Male,1,0,6,12.7,11.5,0,Public Transport
26,Male,0,0,4,12.6,11.5,1,Public Transport
26,Male,1,1,7,20.9,11.6,0,Public Transport
26,Male,1,0,4,12.8,11.6,0,Public Transport
33,Male,1,0,9,17,11.6,1,Car
30,Female,0,0,6,15.6,11.6,0,Public Transport
26,Female,1,0,8,14.6,11.6,0,Public Transport
32,Male,1,0,9,16.9,11.7,1,Car
23,Male,1,0,0,6.9,11.7,0,2Wheeler
26,Male,1,1,6,11.7,11.7,0,Public Transport
29,Female,1,0,7,14.8,11.7,0,Public Transport
24,Male,1,0,4,12.7,11.7,0,2Wheeler
27,Female,1,0,3,10.7,11.7,0,Public Transport
23,Male,1,0,0,7.7,11.7,0,2Wheeler
29,Female,0,0,7,13.6,11.7,0,Public Transport
27,Female,1,0,5,12.8,11.8,0,2Wheeler
32,Female,1,0,10,15.6,11.8,0,Car
21,Male,1,1,3,9.9,11.8,0,Public Transport
26,Female,1,0,6,11.8,11.9,0,Public Transport
30,Male,1,0,6,15.7,11.9,1,Public Transport
30,Male,1,1,10,28.8,11.9,1,2Wheeler
38,Male,1,0,18,36.9,11.9,1,Car
30,Female,1,0,6,15.6,11.9,0,Public Transport
40,Male,1,0,21,54,11.9,1,Car
28,Male,1,1,6,13.7,11.9,0,Public Transport
30,Male,1,0,8,14.8,12,0,Public Transport
22,Male,1,1,2,12.7,12,0,Public Transport
28,Male,1,1,7,13.9,12.1,0,Public Transport
30,Male,0,0,10,29.9,12.1,0,Public Transport
25,Male,1,1,4,11.7,12.1,1,Public Transport
25,Female,1,0,5,17.8,12.1,0,Public Transport
31,Male,1,0,10,14.9,12.1,0,Public Transport
24,Male,1,1,0,7.7,12.1,0,Public Transport
34,Male,1,1,16,34.9,12.2,0,Public Transport
28,Male,1,0,5,13.9,12.2,1,2Wheeler
33,Female,1,0,13,36,12.2,1,Car
25,Female,1,0,5,18.9,12.2,0,2Wheeler
32,Male,0,0,9,16.9,12.2,1,Car
24,Female,0,0,0,6.8,12.2,0,Public Transport
26,Female,1,0,2,9.8,12.2,0,2Wheeler
26,Male,0,0,3,9.8,12.2,1,Public Transport
26,Male,1,0,3,10.7,12.2,1,Public Transport
18,Male,1,0,0,6.8,12.2,0,Public Transport
26,Male,1,1,5,12.7,12.2,0,Public Transport
27,Male,1,0,8,20.7,12.2,0,2Wheeler
33,Male,0,0,11,17,12.3,1,Car
29,Male,0,0,7,14.7,12.3,0,Public Transport
33,Male,1,0,10,16.9,12.3,0,Car
24,Male,1,0,1,7.7,12.4,1,Public Transport
31,Male,1,0,7,17,12.4,1,Car
27,Male,1,0,4,13.8,12.4,0,Public Transport
26,Male,1,1,5,12.7,12.5,0,Public Transport
28,Male,0,0,5,14.9,12.5,1,2Wheeler
24,Female,1,1,1,8.8,12.6,1,2Wheeler
27,Male,1,1,5,13.7,12.6,0,Public Transport
30,Male,1,1,8,14.7,12.6,0,Public Transport
24,Female,1,1,2,8.7,12.6,0,2Wheeler
27,Male,1,0,8,20.7,12.6,0,Public Transport
38,Male,0,0,19,44,12.6,1,Car
25,Male,0,0,5,13.7,12.7,1,2Wheeler
24,Male,1,0,1,8.9,12.7,0,Public Transport
21,Male,0,0,3,9.8,12.7,0,Public Transport
22,Male,1,0,0,6.8,12.7,0,Public Transport
25,Male,0,1,4,11.8,12.8,0,Public Transport
34,Male,1,1,11,17,12.8,0,Car
27,Male,1,0,6,12.8,12.8,0,Public Transport
24,Male,1,1,1,8.8,12.8,0,Public Transport
26,Male,1,0,4,12.7,12.8,0,Public Transport
25,Male,1,0,3,10.8,12.8,0,Public Transport
28,Male,1,0,6,13.8,12.9,0,Public Transport
30,Female,1,0,6,15.8,12.9,0,Public Transport
34,Male,1,1,15,37,12.9,1,2Wheeler
30,Male,1,1,9,14.9,12.9,0,Public Transport
26,Male,1,0,5,11.7,13,0,Public Transport
30,Male,1,0,9,14.8,13,0,Public Transport
27,Female,1,0,8,24.9,13,0,Public Transport
31,Male,1,0,12,43,13,1,Car
22,Male,1,1,0,6.9,13,0,2Wheeler
28,Male,1,0,4,14.8,13,0,Public Transport
18,Male,0,0,0,6.7,13,0,2Wheeler
23,Female,1,1,2,8.8,13.1,0,2Wheeler
24,Male,1,0,1,7.8,13.1,0,Public Transport
25,Female,0,0,2,8.9,13.2,0,2Wheeler
26,Female,0,0,5,12.8,13.2,0,2Wheeler
22,Male,1,0,0,6.9,13.2,0,2Wheeler
24,Male,1,0,4,13.8,13.2,0,Public Transport
26,Male,0,0,4,12.7,13.3,0,Public Transport
27,Female,1,1,4,13.7,13.3,0,Public Transport
27,Male,1,0,6,12.9,13.3,0,Public Transport
24,Male,0,1,2,8.9,13.4,0,Public Transport
27,Male,1,1,8,21.8,13.4,0,Public Transport
26,Female,1,0,8,20.9,13.4,0,2Wheeler
22,Male,1,0,0,7,13.5,0,2Wheeler
35,Female,1,0,15,37,13.5,1,Car
26,Female,1,0,4,12.8,13.6,1,2Wheeler
38,Male,1,0,19,54,13.6,1,Car
36,Female,1,0,18,44,13.6,1,Car
27,Male,1,0,1,8.9,13.6,0,Public Transport
28,Male,1,0,7,12.7,13.6,0,Public Transport
28,Male,1,0,3,10.9,13.6,0,Public Transport
28,Male,1,0,4,14.9,13.7,0,Public Transport
31,Male,1,0,7,15.9,13.7,0,Public Transport
23,Male,0,0,0,6.9,13.7,0,2Wheeler
24,Male,1,1,2,8.9,13.8,0,Public Transport
24,Female,1,0,2,8.9,13.8,0,2Wheeler
34,Female,1,0,14,34,13.8,0,Car
26,Male,0,0,7,18.8,13.8,0,Public Transport
26,Male,0,1,5,12.8,13.9,0,Public Transport
30,Male,1,0,7,14.9,14,0,Public Transport
32,Male,1,0,11,15.8,14.1,1,Car
27,Male,0,0,9,23.9,14.1,0,Public Transport
38,Male,1,0,19,48,14.1,1,Car
38,Male,1,1,20,42,14.1,1,Car
40,Male,1,0,22,51,14.1,1,Car
27,Male,1,0,4,13.9,14.2,0,Public Transport
26,Male,1,0,4,12.8,14.2,0,Public Transport
24,Female,0,0,2,9,14.2,0,2Wheeler
30,Male,1,0,8,14.8,14.3,0,Public Transport
28,Male,1,0,4,14.9,14.3,0,Public Transport
30,Male,1,0,6,15.8,14.3,0,Public Transport
27,Female,1,0,7,23.8,14.4,0,2Wheeler
36,Male,1,0,16,45,14.4,1,Car
31,Male,1,0,12,34,14.4,1,Car
22,Female,1,0,0,6.8,14.5,0,Public Transport
25,Female,0,0,3,9.9,14.6,0,Public Transport
32,Female,0,0,10,15.9,14.6,0,Car
32,Female,1,1,10,15.8,14.6,1,Car
26,Male,1,0,5,12.8,15,0,Public Transport
34,Female,0,0,14,28.8,15,0,Public Transport
27,Male,1,0,9,20.8,15.1,0,Public Transport
24,Female,1,0,2,9,15.1,0,2Wheeler
34,Male,1,0,14,45,15.1,1,Car
28,Female,1,0,6,13.9,15.1,0,Public Transport
27,Male,0,0,5,13.8,15.2,0,Public Transport
22,Male,0,0,0,6.8,15.2,1,2Wheeler
25,Female,1,0,2,8.8,15.2,0,2Wheeler
23,Male,1,0,1,7.9,15.2,0,Public Transport
24,Male,0,0,0,6.9,15.3,0,2Wheeler
21,Male,1,1,3,9.8,15.3,0,Public Transport
29,Male,0,0,5,14.8,15.4,0,Public Transport
30,Male,1,0,8,15,15.5,1,2Wheeler
40,Female,1,0,20,42.9,15.5,0,Car
28,Male,1,0,5,13.8,15.5,0,Public Transport
30,Male,1,0,8,14.9,15.5,1,2Wheeler
28,Female,0,1,9,23.8,15.5,0,Public Transport
27,Male,1,1,6,12.9,15.6,0,Public Transport
26,Male,1,0,6,18.8,15.6,0,Public Transport
26,Female,1,0,3,10.8,15.6,0,Public Transport
27,Male,0,0,3,9.8,15.7,1,Public Transport
26,Female,0,0,7,18.8,15.7,0,2Wheeler
22,Male,1,1,0,6.9,15.7,0,Public Transport
24,Female,1,0,1,8.8,15.8,0,2Wheeler
23,Male,1,1,2,8.9,15.8,0,Public Transport
25,Male,1,0,2,8.9,15.8,0,Public Transport
37,Male,1,1,18,41,15.9,1,Car
25,Male,0,0,3,9.9,15.9,0,Public Transport
23,Male,1,0,0,8,15.9,0,2Wheeler
20,Female,1,0,2,9,16.2,0,2Wheeler
22,Male,0,0,1,7.9,16.3,1,2Wheeler
39,Male,1,0,21,40.9,16.3,0,Car
26,Female,1,0,6,23,16.3,0,2Wheeler
26,Male,1,0,2,10,16.4,1,2Wheeler
28,Male,1,0,5,13.9,16.4,0,Public Transport
31,Male,1,0,8,15.9,16.4,0,Public Transport
32,Female,1,0,14,30.9,16.5,0,Car
34,Male,1,0,12,16.9,16.6,0,Public Transport
32,Female,1,1,9,15.9,16.6,0,Public Transport
24,Male,1,0,2,8.9,16.8,0,Public Transport
25,Female,1,0,1,8.9,16.8,0,2Wheeler
40,Male,1,1,20,41.9,16.9,1,Car
38,Female,1,0,20,43,17,1,Car
29,Female,1,0,6,14.9,17,0,Public Transport
29,Male,1,1,8,13.9,17.1,0,Public Transport
24,Male,1,0,0,7.9,17.1,0,2Wheeler
25,Male,1,0,3,9.9,17.2,0,Public Transport
27,Female,0,0,4,13.9,17.3,0,Public Transport
33,Male,1,0,14,33,17.3,0,Car
26,Male,1,1,2,9.9,17.7,0,Public Transport
34,Male,1,1,16,36,17.8,1,Car
31,Male,0,0,11,33,17.8,1,Car
23,Female,1,1,2,9,17.9,0,2Wheeler
23,Male,0,0,3,9.9,17.9,0,Public Transport
36,Female,1,0,17,38,18,1,Car
39,Male,1,0,21,46,18.1,1,Car
38,Male,1,0,18,45,18.1,1,Car
40,Male,1,0,20,48,18.2,1,Car
30,Male,1,1,11,35,18.3,1,Car
39,Male,0,0,21,51,18.6,1,Car
38,Male,1,0,19,51,18.8,1,Car
42,Male,1,0,22,55,19,1,Car
29,Male,0,1,7,15,19,1,2Wheeler
33,Male,1,1,10,17,19.1,0,Car
26,Male,1,0,4,13,19.1,1,2Wheeler
40,Male,1,0,22,45,19.8,1,Car
37,Male,0,0,19,42,20.7,1,Car
43,Male,1,1,24,52,20.8,1,Car
28,Female,1,1,7,13,21,1,2Wheeler
34,Male,1,0,14,38,21.3,1,Car
40,Male,1,0,20,57,21.4,1,Car
38,Male,1,0,19,44,21.5,1,Car
37,Male,1,0,19,45,21.5,1,Car
37,Male,0,0,19,47,22.8,1,Car
39,Male,1,1,21,50,23.4,1,Car
